ID,EMPRESA,Setor primário,SSL/TLS enabled,Responsive
374,Allianz Seguros,Seguradoras,True,False
375,Allianz Saúde,Operadoras de Planos de Saúde,True,True
376,Almaviva Telemarketing,Tecnologia e Telecomunicações,True,True
377,Alubar,Imobiliário e Construção Civil,False,False
378,Alumbra,Imobiliário e Construção Civil,,
379,Alupar,Energia,True,False
380,Amaggi,Agronegócio,True,False
381,Ambev,Alimentos e Bebidas,True,
382,Amstedmaxion - Fundidos Industriais,Bens de Capital e Eletroeletrônicos,False,False
383,Banco Andbank,Bancos,True,
384,Supermercados Archer,Atacado e Varejo,True,False
385,Arezzo,Moda e Vestuário,True,
386,Argo Energia,Energia,True,False
387,Arteris,"Transporte, Logística e Serviços Logísticos",True,False
388,Assaí Atacadista,Atacado e Varejo,True,False
389,Assurant,Seguradoras,True,True
390,Atacadão,Atacado e Varejo,True,True
391,Athletico Paranaense,Participações e Mídia,True,True
392,Austral Resseguradora,Seguradoras,True,False
393,Azul Seguros,Seguradoras,True,
394,B3,Serviços Financeiros,False,False
395,Grupo Bahema,Educação,True,True
396,Baldo,Agronegócio,,
397,Bamaq,"Transporte, Logística e Serviços Logísticos",True,True
398,Banco Arbi,Bancos,True,False
399,Banco Bmg,Bancos,True,True
400,Banco BS2,Bancos,True,
401,Banco Guanabara,Bancos,True,False
402,Banco Honda,Bancos,,
403,Banco Master,Bancos,True,True
404,Banco Mercedes-Benz do Brasil,Bancos,True,False
405,Banco Pan,Bancos,False,False
406,Banco Paulista,Bancos,True,False
407,Banco PSA Finance Brasil,Bancos,True,False
408,Banco Randon,Bancos,True,True
409,Bancoseguro,Bancos,True,False
410,Banco Semear,Bancos,True,True
411,Banco Fidis,Bancos,True,True
412,Banco Topázio,Bancos,True,False
413,Banco XCMG,Bancos,True,True
414,Banestes,Bancos,True,
415,Banestes Seguros,Seguradoras,True,
416,Banrisul Seguridade e Participações,Seguradoras,True,False
417,Banrisul,Bancos,True,False
418,Banrisul Administradora de Consórcios,Serviços Financeiros,False,False
